Filename,# unique final preds,# useful preds,# preds w/ calls,# initial preds,# final preds,# initial full exprs unseq. s.e,additional partial-alias responses,additional must-not-alias responses,additional may-alias responses,additional must-alias responses,Benchmark,Increase in additional may-alias responses(%),Increase in additional must-alias responses(%),Increase in additional must-not-alias responses(%),Increase in additional partial-alias responses(%),Total AA Queries,Total AA Queries w/ Unseq
morphology.stats,158,84,16,221,198,106,123,925,25591,362,538.imagick_r,4.423,10.61,1.31,14.909,653409.0,680410.0
regcomp.stats,29,9,0,33,261,20,0,45,-45,0,544.nab_r,-0.051,0.0,0.281,0.0,105776.0,105776.0
snprintf.stats,37,1,0,41,163,35,0,31,-31,0,507.cactuBSSN_r,-0.148,0.0,2.581,0.0,22246.0,22246.0
regex.stats,293,108,0,306,391,121,0,25,-25,0,507.cactuBSSN_r,-0.003,0.0,0.027,0.0,1004699.0,1004699.0
nblist.stats,35,8,0,35,96,14,0,23,-23,0,544.nab_r,-0.092,0.0,2.124,0.0,26188.0,26188.0
feature.stats,28,10,0,59,48,38,0,18,-18,0,538.imagick_r,-0.006,0.0,0.041,0.0,362128.0,362128.0
screen_edit.stats,16,9,1,32,50,14,0,17,-17,0,526.blender_r,-0.016,0.0,0.182,0.0,117719.0,117719.0
paint_curve.stats,45,21,1,62,123,11,0,16,-16,0,526.blender_r,-0.159,0.0,0.683,0.0,12701.0,12701.0
uvedit_smart_stitch.stats,12,3,4,43,42,17,0,13,-13,0,526.blender_r,-0.002,0.0,0.034,0.0,759870.0,759870.0
ImageValidator.stats,46,16,0,50,62,8,0,12,-12,0,511.povray_r,-0.029,0.0,0.027,0.0,85085.0,85085.0
ImageValidator.stats,46,16,0,50,62,8,0,12,-12,0,538.imagick_r,-0.029,0.0,0.027,0.0,85085.0,85085.0
sff.stats,21,12,0,79,33,11,0,12,-12,0,544.nab_r,-0.008,0.0,0.035,0.0,185458.0,185458.0
sequencer_scopes.stats,52,15,0,56,208,31,0,12,-12,0,526.blender_r,-0.004,0.0,0.03,0.0,351313.0,351313.0
