Filename,# unique final preds,# useful preds,# preds w/ calls,# initial preds,# final preds,# initial full exprs unseq. s.e,additional partial-alias responses,additional must-not-alias responses,additional may-alias responses,additional must-alias responses,Benchmark,Increase in additional may-alias responses(%),Increase in additional must-alias responses(%),Increase in additional must-not-alias responses(%),Increase in additional partial-alias responses(%),Total AA Queries,Total AA Queries w/ Unseq
cp-demangle.stats,8,2,0,8,1763,6,127,58230,337180,12371,502.gcc_r,20.417,48.396,24.005,3.188,1923587.0,2331495.0
regmove.stats,3,1,0,226,3,77,20,41661,-23803,14,502.gcc_r,-9.409,5.49,267.761,5.54,269158.0,287050.0
io_tiff.stats,28,24,1,33,324,18,38,6439,62260,38,525.x264_r,67.309,35.185,34.518,65.517,111319.0,180094.0
re_comp.stats,164,45,7,184,275,88,0,2453,4223,6,500.perlbench_r,0.073,0.014,0.214,0.0,6952420.0,6959102.0
regcomp.stats,173,45,7,193,314,97,0,2136,1274,5,500.perlbench_r,0.027,0.014,0.333,0.0,5319976.0,5323391.0
delta_encoder.stats,10,4,0,14,30,6,0,2021,1416,78,557.xz_r,131.354,288.889,123.533,0.0,2743.0,6258.0
regexec.stats,72,36,0,92,142,55,-105,1849,305810,3,500.perlbench_r,3.93,0.016,0.579,-2.942,8123568.0,8431125.0
re_exec.stats,72,36,0,92,142,55,-105,1836,291952,3,500.perlbench_r,3.91,0.016,0.584,-2.935,7803512.0,8097198.0
pretty-print.stats,79,19,0,116,99,33,2,1101,790,3,502.gcc_r,0.379,1.734,5.987,0.399,227648.0,229544.0
toke.stats,324,155,4,357,360,147,0,1059,16695,18,500.perlbench_r,0.018,0.455,0.023,0.0,96041070.0,96058842.0
insn-extract.stats,2178,650,0,2193,2178,731,0,513,-513,0,502.gcc_r,-0.002,0.0,0.508,0.0,25500657.0,25500657.0
delta_decoder.stats,5,2,0,9,15,5,0,481,368,24,557.xz_r,112.538,218.182,101.907,0.0,811.0,1684.0
Storable.stats,281,155,81,359,281,218,0,129,-129,0,500.perlbench_r,-0.019,0.0,0.166,0.0,751025.0,751025.0
ListUtil.stats,64,38,16,97,65,69,0,70,-70,0,500.perlbench_r,-0.019,0.0,0.199,0.0,398458.0,398458.0
intra8x8_pred_normal.stats,1377,250,0,1381,2357,165,0,69,-69,0,525.x264_r,-0.004,0.0,0.021,0.0,2048966.0,2048966.0
intra8x8_pred_mbaff.stats,1209,250,0,1213,2189,109,0,69,-69,0,525.x264_r,-0.003,0.0,0.012,0.0,2965085.0,2965085.0
universal.stats,56,33,11,86,69,74,0,65,-65,0,500.perlbench_r,-0.153,0.0,1.126,0.0,48942.0,48942.0
mbuffer.stats,290,79,9,296,586,81,0,65,-65,0,525.x264_r,-0.005,0.0,0.061,0.0,1327352.0,1327352.0
sel-sched-ir.stats,42,16,6,336,170,120,0,57,-57,0,502.gcc_r,-0.018,0.0,0.103,0.0,372979.0,372979.0
scope.stats,80,11,9,103,133,79,1,36,824,0,500.perlbench_r,0.842,0.0,0.712,0.307,103582.0,104443.0
pp_hot.stats,143,24,19,182,158,134,0,35,-35,0,500.perlbench_r,-0.01,0.0,0.108,0.0,375371.0,375371.0
sort.stats,8,3,0,8,36,5,0,33,-33,0,502.gcc_r,-0.062,0.0,0.544,0.0,59222.0,59222.0
IO.stats,19,15,0,36,19,33,0,30,-30,0,500.perlbench_r,-0.278,0.0,0.682,0.0,15286.0,15286.0
Opcode.stats,18,15,10,45,32,35,0,30,-30,0,500.perlbench_r,-0.107,0.0,0.315,0.0,37884.0,37884.0
reg-stack.stats,45,15,16,239,136,83,0,30,-30,0,502.gcc_r,-0.004,0.0,0.064,0.0,882858.0,882858.0
SHA.stats,1811,15,2,1829,2253,193,0,30,-30,0,500.perlbench_r,-0.035,0.0,0.054,0.0,142551.0,142551.0
analyse.stats,472,116,7,478,528,36,0,29,1177,5,525.x264_r,0.043,0.047,0.001,0.0,4855377.0,4856588.0
pp_ctl.stats,322,48,79,399,413,289,0,28,-28,0,500.perlbench_r,-0.003,0.0,0.035,0.0,887772.0,887772.0
combine.stats,11,2,1,276,11,96,0,28,-28,0,502.gcc_r,-0.001,0.0,0.01,0.0,3932312.0,3932312.0
regex.stats,302,109,0,311,405,126,0,27,-27,0,502.gcc_r,-0.003,0.0,0.041,0.0,951174.0,951174.0
HiRes.stats,27,13,8,53,27,46,0,26,-26,0,500.perlbench_r,-0.267,0.0,0.562,0.0,14525.0,14525.0
op.stats,92,14,5,114,185,78,0,25,-25,0,500.perlbench_r,-0.002,0.0,0.021,0.0,1278282.0,1278282.0
Parser.stats,34,20,3,54,36,40,0,24,-24,0,500.perlbench_r,-0.004,0.0,0.034,0.0,683843.0,683843.0
